Date,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma
3/1/20,0,0,0,0,0,0,2,0,0
3/2/20,0,0,0,0,0,0,2,0,0
3/3/20,0,0,0,0,0,0,2,0,0
3/4/20,0,0,0,0,0,0,2,0,0
3/5/20,0,0,0,0,0,0,2,0,0
3/6/20,0,0,0,0,0,0,3,0,0
3/7/20,0,0,0,0,0,0,3,0,0
3/8/20,0,0,0,0,0,0,3,0,0
3/9/20,0,0,0,0,0,0,4,0,0
3/10/20,0,0,0,0,0,0,4,0,0
3/11/20,0,0,0,0,0,0,4,0,0
3/12/20,0,0,0,0,0,0,4,0,0
3/13/20,0,0,0,0,0,0,5,0,0
3/14/20,0,0,0,0,0,0,5,0,0
3/15/20,0,0,0,0,0,1,7,0,0
3/16/20,0,0,0,0,0,1,7,0,0
3/17/20,0,0,0,0,0,1,10,0,0
3/18/20,0,0,0,0,0,1,10,0,0
3/19/20,0,0,0,0,0,1,10,0,0
3/20/20,0,1,0,0,0,1,12,0,1
3/21/20,0,1,0,0,0,1,14,0,1
3/22/20,0,1,0,0,0,1,16,0,1
3/23/20,1,1,0,0,0,1,20,0,1
3/24/20,2,1,0,0,1,2,21,0,1
3/25/20,2,1,0,0,1,5,28,0,1
3/26/20,4,1,0,0,2,5,28,0,1
3/27/20,4,2,1,0,3,6,29,0,1
3/28/20,6,3,1,0,4,6,31,0,1
3/29/20,7,3,1,0,5,6,33,0,1
3/30/20,7,3,4,0,6,10,35,0,1
3/31/20,7,3,5,1,6,10,36,0,1
4/1/20,8,3,6,1,7,10,39,0,1
4/2/20,9,3,6,1,7,10,41,1,1
4/3/20,12,5,6,2,7,13,42,1,1
4/4/20,12,5,7,2,8,13,42,1,1
4/5/20,12,6,7,2,8,13,45,1,1
4/6/20,13,7,9,2,9,13,46,1,1
4/7/20,15,7,10,2,9,21,48,2,1
4/8/20,16,7,10,2,10,21,50,2,1
4/9/20,17,8,10,2,10,21,54,2,1
4/10/20,20,9,10,2,13,21,55,2,2
4/11/20,21,11,10,2,13,21,61,2,2
4/12/20,23,11,10,2,14,21,67,2,2
4/13/20,23,11,10,2,15,21,68,2,2
4/14/20,23,12,10,2,15,21,70,2,2
4/15/20,36,14,10,2,17,28,74,2,2
4/16/20,39,16,10,2,17,28,77,2,2
4/17/20,40,19,10,2,20,28,82,2,2
4/18/20,41,19,10,2,20,28,86,2,2
4/19/20,42,20,10,2,20,28,88,2,2
4/20/20,42,22,10,2,20,28,93,2,2
4/21/20,43,22,10,2,20,28,96,3,2
4/22/20,45,22,11,2,21,39,99,3,2
4/23/20,46,23,11,2,21,39,100,4,2
4/24/20,48,23,12,2,22,41,101,4,2
4/25/20,52,25,12,2,22,41,102,4,2
4/26/20,52,25,12,2,22,41,105,4,2
4/27/20,52,25,12,2,23,41,107,4,2
4/28/20,55,25,12,2,23,48,109,4,2
4/29/20,57,25,13,2,23,48,111,5,2
4/30/20,60,27,13,2,25,48,113,5,2
5/1/20,62,28,13,2,28,51,115,5,2
5/2/20,63,28,13,2,29,51,118,5,2
5/3/20,63,28,13,2,29,51,120,5,3
5/4/20,63,28,13,2,29,51,124,6,3
5/5/20,66,29,14,2,31,56,124,6,3
5/6/20,66,29,14,2,31,56,126,7,3
5/7/20,67,29,14,2,32,56,126,7,3
5/8/20,70,29,14,2,33,56,127,7,3
5/9/20,71,31,14,2,33,56,128,7,3
5/10/20,71,31,14,2,34,56,128,7,3
5/11/20,71,32,14,3,35,56,130,10,4
5/12/20,74,32,14,3,35,65,131,11,4
5/13/20,76,33,14,3,35,65,132,12,4
5/14/20,79,33,14,3,35,65,133,14,4
5/15/20,82,33,14,3,36,66,134,16,4
5/16/20,83,33,14,3,36,66,135,16,4
5/17/20,83,33,14,3,36,66,135,16,4
5/18/20,83,33,14,3,36,66,135,16,4
5/19/20,86,33,14,3,36,75,137,16,4
5/20/20,88,33,14,3,37,75,138,18,4
5/21/20,90,36,14,3,37,75,138,19,4
5/22/20,90,36,14,3,40,76,138,20,4
5/23/20,92,36,14,3,40,76,139,20,4
5/24/20,93,36,14,3,40,76,139,20,4
5/25/20,93,37,14,3,40,76,139,20,4
5/26/20,93,37,14,3,40,82,139,20,4
5/27/20,93,37,14,3,40,82,140,21,4
5/28/20,94,37,14,3,40,82,140,22,4
5/29/20,95,37,14,3,41,84,140,22,4
5/30/20,95,37,14,3,41,84,141,22,4
5/31/20,96,37,14,3,42,84,141,22,4
6/1/20,96,37,15,3,43,84,142,22,4
6/2/20,97,37,17,3,43,84,143,22,4
6/3/20,97,38,17,3,43,84,143,22,4
6/4/20,97,38,17,3,43,84,143,22,4
6/5/20,101,38,17,3,43,88,143,23,4
6/6/20,101,38,17,3,43,88,143,23,4
6/7/20,101,39,17,3,43,88,144,23,4
6/8/20,101,40,17,3,43,88,145,23,4
6/9/20,102,43,17,3,44,93,146,23,4
6/10/20,105,43,17,3,44,93,146,23,4
6/11/20,108,44,17,3,44,93,148,23,4
