Date,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma
4/1/20,52,31,9,2,67,57,160,14,5
4/2/20,57,32,7,1,75,62,163,15,8
4/3/20,64,31,6,1,80,65,164,16,6
4/4/20,60,30,5,1,80,66,159,16,7
4/5/20,72,29,5,1,79,69,166,15,6
4/6/20,79,30,8,0,80,68,181,15,6
4/7/20,76,31,6,0,88,63,187,14,6
4/8/20,84,35,5,0,90,66,156,15,6
4/9/20,80,37,5,0,88,58,158,14,5
4/10/20,93,42,6,0,85,56,151,18,4
4/11/20,87,39,2,0,82,54,146,13,3
4/12/20,91,46,2,0,92,46,145,13,3
4/13/20,85,44,2,0,89,57,151,13,3
4/14/20,92,37,2,0,87,55,144,12,3
4/15/20,81,38,4,0,87,53,144,9,3
4/16/20,73,37,5,0,84,54,134,9,3
4/17/20,85,34,4,0,79,51,140,10,2
4/18/20,82,35,3,0,74,49,137,9,2
4/19/20,84,34,3,0,73,53,143,11,2
4/20/20,85,37,6,1,79,56,149,10,2
4/21/20,85,33,5,1,76,53,144,6,2
4/22/20,84,32,5,1,75,50,137,10,3
4/23/20,81,31,3,1,75,53,137,11,3
4/24/20,79,29,2,1,75,49,129,10,3
4/25/20,83,25,2,1,73,47,125,10,3
4/26/20,84,27,3,1,79,53,118,8,1
4/27/20,81,24,2,1,82,52,115,8,2
4/28/20,76,27,1,1,81,50,116,12,3
4/29/20,76,24,0,1,80,51,110,10,5
4/30/20,74,24,0,1,85,53,104,11,5
5/1/20,75,21,0,0,86,48,97,10,4
5/2/20,73,20,0,0,81,48,95,14,3
5/3/20,73,20,0,0,83,47,93,14,2
5/4/20,73,19,1,0,84,45,90,15,3
5/5/20,76,21,1,0,79,44,79,13,3
5/6/20,78,16,3,1,76,43,73,12,4
5/7/20,75,20,3,1,72,37,70,10,2
5/8/20,80,21,3,1,71,33,69,10,2
5/9/20,81,20,4,1,68,32,66,11,3
5/10/20,77,18,4,2,66,29,66,14,5
5/11/20,78,16,3,1,63,31,59,13,5
5/12/20,79,17,3,1,63,30,55,15,6
5/13/20,81,20,3,1,57,34,58,16,5
5/14/20,82,20,3,1,56,32,51,15,5
5/15/20,76,19,2,1,56,30,48,14,5
5/16/20,81,16,1,1,44,31,51,14,5
5/17/20,74,16,1,1,40,32,44,17,5
5/18/20,87,19,4,1,46,41,46,16,3
5/19/20,83,14,4,1,48,41,43,18,4
5/20/20,81,9,4,1,47,37,40,18,2
5/21/20,77,8,4,1,43,37,39,18,4
5/22/20,79,11,3,1,43,40,36,18,5
5/23/20,80,14,2,1,45,39,37,18,5
5/24/20,88,15,2,1,47,39,35,18,6
5/25/20,91,13,3,1,40,44,32,21,5
5/26/20,93,13,2,1,40,45,33,19,5
5/27/20,95,11,1,1,40,33,28,20,9
5/28/20,96,13,3,1,49,39,26,19,8
5/29/20,102,15,4,0,49,37,26,20,7
5/30/20,105,14,3,0,47,44,29,18,5
5/31/20,99,11,2,0,50,46,25,19,5
6/1/20,97,13,2,0,45,40,26,20,5
6/2/20,92,15,1,0,43,42,26,16,3
6/3/20,89,15,1,0,37,43,30,10,3
6/4/20,82,18,2,0,41,35,37,10,4
6/5/20,82,17,2,1,42,36,43,13,3
6/6/20,83,18,3,1,41,37,41,12,4
6/7/20,92,23,1,1,34,37,38,13,5
6/8/20,92,20,2,1,32,34,44,13,5
6/9/20,94,21,6,0,37,31,41,17,5
6/10/20,88,20,8,1,39,29,40,18,5
6/11/20,86,22,8,0,38,26,39,19,4
